Batch Size, Time
1, 367.21467685699463
1, 378.68229389190674
1, 368.1683740615845
2, 719.5543341636658
2, 696.9068739414215
2, 690.4205069541931
4, 469.969309091568
4, 477.59216380119324
4, 467.6191599369049
8, 174.38057804107666
8, 156.62195873260498
8, 157.97145795822144
16, 129.68983793258667
16, 124.30581665039062
16, 120.23421907424927
32, 98.30076599121094
32, 96.15254878997803
32, 98.93233466148376
